id;naziv;longitude;latitude
1;Belgrade, Serbia;20.349480056971153;44.83285726023093
2;Ulica Slobodana Perovića 4, 34000 Kragujevac, Serbia;20.907033814990925;44.014848760372985
3;Jarjevo;45;45
4;Milanovac;43;43
5;Kurunda;43;41
6;Jaslice;41;43
7;Kotorov Zbog;42;42
8;Milicevo;39;369
9;Kisii County;34.93418612529982;-0.86948767609546
10;Al Malha;24.609375;15.96808914535167
11;Ulica Vuka Karadžića BB Kuzmin, Serbia;19.404908405688612;45.02080530252159
12;Tchirozérine;5.625;19.317778868743616
13;Ulica Petefi Šandora 85, 21235 Temerin, Serbia;19.875785576293566;45.40926591122498
14;Ulica Tvrđava 11, 21132 Petrovaradin, Serbia;19.865285796309983;45.25088516099008
15;Ulica Štrosmajerova 9, 21132 Petrovaradin, Serbia;19.862193491053763;45.25426144377632
